ID,biosample_id,titration,pcr_16S_plate,pos,barcode_lab,kit_version,For_Index_ID,Rev_Index_ID,seq_lab,t_fctr
B3_M3_P1_L2_S1,E01JH0016,2,1,C3,NIST,B,S505,N719,JHU,2
B3_M4_P1_L2_S1,E01JH0016,3,1,D3,NIST,B,S506,N719,JHU,3
B3_M5_P1_L2_S1,E01JH0016,4,1,E3,NIST,B,S507,N719,JHU,4
B3_M6_P1_L2_S1,E01JH0016,5,1,F3,NIST,B,S508,N719,JHU,5
B3_M7_P1_L2_S1,E01JH0016,10,1,G3,NIST,B,S510,N719,JHU,10
B3_M8_P1_L2_S1,E01JH0016,15,1,H3,NIST,B,S511,N719,JHU,15
B3_M9_P1_L2_S1,E01JH0016,20,1,C6,NIST,B,S505,N722,JHU,0
B3_M1_P2_L2_S1,E01JH0016,0,1,A9,NIST,B,S502,N726,JHU,20
B3_M2_P2_L2_S1,E01JH0016,1,1,B9,NIST,B,S503,N726,JHU,1
B3_M3_P2_L2_S1,E01JH0016,2,1,C9,NIST,B,S505,N726,JHU,2
B3_M4_P2_L2_S1,E01JH0016,3,1,D9,NIST,B,S506,N726,JHU,3
B3_M5_P2_L2_S1,E01JH0016,4,1,E9,NIST,B,S507,N726,JHU,4
B3_M6_P2_L2_S1,E01JH0016,5,1,F9,NIST,B,S508,N726,JHU,5
B3_M7_P2_L2_S1,E01JH0016,10,1,G9,NIST,B,S510,N726,JHU,10
B3_M8_P2_L2_S1,E01JH0016,15,1,H9,NIST,B,S511,N726,JHU,15
B3_M9_P2_L2_S1,E01JH0016,20,1,C12,NIST,B,S505,N729,JHU,0
B4_M1_P1_L2_S1,E01JH0017,0,1,A4,NIST,B,S502,N720,JHU,20
B4_M2_P1_L2_S1,E01JH0017,1,1,B4,NIST,B,S503,N720,JHU,1
B4_M3_P1_L2_S1,E01JH0017,2,1,C4,NIST,B,S505,N720,JHU,2
B4_M4_P1_L2_S1,E01JH0017,3,1,D4,NIST,B,S506,N720,JHU,3
B4_M5_P1_L2_S1,E01JH0017,4,1,E4,NIST,B,S507,N720,JHU,4
B4_M6_P1_L2_S1,E01JH0017,5,1,F4,NIST,B,S508,N720,JHU,5
B4_M7_P1_L2_S1,E01JH0017,10,1,G4,NIST,B,S510,N720,JHU,10
B4_M8_P1_L2_S1,E01JH0017,15,1,H4,NIST,B,S511,N720,JHU,15
B4_M9_P1_L2_S1,E01JH0017,20,1,E6,NIST,B,S507,N722,JHU,0
